Kab/Kota,Provinsi,X1,X2,X3,X4,X5,X6
Simeulue,Aceh,128,"69,01",31944,"17,69","5,5",558318
Aceh Singkil,,107,"70,75",25361,"19,06","6,44",699916
Aceh Selatan,,240,"69,1",30853,"12,02","4,56",623376
Aceh Tenggara,,358,"71,7",28742,"11,99","4,79",655197
Aceh Timur,,426,"69,87",33666,"13,26","7,75",667598
Aceh Tengah,,247,"75,41",47284,"14,27","4,21",775427
Aceh Barat,,261,"73,69",67938,"17,6","5,58",873696
Aceh Besar,,585,"75,13",42993,"13,21","7,93",729105
Pidie,,716,"72,31",32150,"18,59","5,74",717855
Bireuen,,552,"74,45",40039,"12,1","3,93",675891
Aceh Utara,,695,"71,7",47628,"16,11","6,88",518986
Aceh Barat Daya,,151,"68,75",33721,"15,32","3,83",703027
Gayo Lues,,139,"69,83",33552,"18,3","2,4",839412
Aceh Tamiang,,198,"72,32",37412,"12,17","6,95",612985
Nagan Raya,,210,"71,72",70463,"16,94","5,22",1120123
Aceh Jaya,,154,"71,83",36357,"12,25","2,75",889976
Bener Meriah,,176,"75,01",37903,"18,18","2,2",958395
Pidie Jaya,,199,"75,16",28383,"18,28","3,82",711967
Kota Banda Aceh,,90,"87,17",98201,"6,95","7,55",1031427
Kota Sabang,,17,"78,32",42813,"14,58","2,95",890378
Kota Langsa,,65,"78,81",37006,"10,33","7,34",699432
Kota Lhokseumawe,,68,"79,55",59122,"10,44","8,47",798994
Kota Subulussalam,,66,"68,04",27880,"16,38","5,12",617692
Nias,Sumatra Utara,110,"66,13",34085,"14,89","2,1",496409
Mandailing Natal,,351,"73,44",40129,"8,69","7,22",684284
Tapanuli Selatan,,185,"75,18",67227,"6,92","3,41",629417
Tapanuli Tengah,,188,"73,34",34619,"11,8","7,45",620842
Tapanuli Utara,,228,"77,48",34494,"8,21","1,22",726673
Toba Samosir,,208,"78,44",47455,"8,07","1,79",851851
Labuhan Batu,,92,"75,2",97593,"7,84","4,89",752304
Asahan,,196,"74,17",70611,"8,12","5,47",728117
Simalungun,,374,"75,88",56003,"7,72","4,53",702694
Dairi,,160,"75,88",38398,"7,1","1,6",722701
Karo,,246,"77,49",67690,"7,37","1,84",1035916
Deli Serdang,,335,"77,56",73934,"3,44","8,02",705023
Langkat,,249,"74,85",57859,"9,04","5,48",680678
Nias Selatan,,386,"65,87",23409,"16,32","1,51",528794
Humbang Hasundutan,,136,"73,33",39949,"8,44","1,02",737479
Pakpak Bharat,,45,"73,09",30576,"6,87","1,32",694558
Samosir,,127,"73,77",42639,"11,63","1,01",907455
Serdang Bedagai,,228,"74,15",60743,"6,97","4,21",641609
Batu Bara,,150,"73,14",108189,"10,94","5,59",648447
Padang Lawas Utara,,254,"74,16",63548,"8,97","2,98",699404
Padang Lawas,,288,"73,1",65288,"7,87","3,25",755550
Labuhan Batu Selatan,,49,"75,11",124517,"7,73","4,52",725363
Labuhan Batu Utara,,78,"76,2",89497,"8,98","5,12",693645
Nias Utara,,83,"66,42",30190,"21,5","1,45",472544
Nias Barat,,47,"65,66",26031,"22,68","0,81",434324
Kota Sibolga,,17,"77,52",78494,"11,39","6,56",785639
Kota Tanjung Balai,,31,"75,95",65758,"11,97","6,7",787697
Kota Pematang Siantar,,53,"81,17",62629,"7,2",8,750721
Kota Tebing Tinggi,,35,"78,68",43514,"8,79","7,32",840216
Kota Medan,,151,"83,23",132571,"7,94","8,13",872365
Kota Binjai,,37,"78,67",50750,"4,75","6,95",836228
Kota Padangsidimpuan,,79,"78,61",35727,"6,23","5,9",747220
Kota Gunungsitoli,,88,"72,3",50415,"14,72","4,43",507775
Kepulauan Mentawai,Sumatra Barat,35,"63,99",67574,"13,89","5,06",774905
Pesisir Selatan,,168,"72,02",35865,"7,49","4,91",709070
Solok,,61,"71,02",44727,"7,31","4,73",772240
Sijunjung,,54,"70,23",50993,"5,78","5,3",744214
Tanah Datar,,74,"74,9",45268,"4,28","6,59",753297
Padang Pariaman,,93,"73,1",58687,"6,27","4,73",715317
Agam,,100,"74,66",49994,"6,83","3,68",694440
Lima Puluh Kota,,69,"71,14",52107,"6,92","5,25",823601
Pasaman,,56,"68,89",38136,"6,74","2,3",678910
Solok Selatan,,44,"71,5",39130,"6,56","6,02",815590
Dharmasraya,,47,"74,06",58908,"5,32","6,34",878166
Pasaman Barat,,85,"70,93",46114,7,"9,88",761925
Kota Padang,,104,"83,99",88030,"4,06","3,62",922708
Kota Solok,,13,80,70365,"3,07","5,55",838046
Kota Sawah Lunto,,34,"75,13",74768,"2,33","4,94",882264
Kota Padang Panjang,,16,"80,17",81129,"5,31","4,72",1239790
Kota Bukittinggi,,24,"82,51",94538,"4,08","4,87",906627
Kota Payakumbuh,,47,"80,61",63820,"5,19","5,32",853219
Kota Pariaman,,70,"78,88",69308,"4,26","5,75",829902
Kuantan Singingi,Riau,213,74,148878,"7,89","2,48",768134
Indragiri Hulu,,161,"72,75",129125,"6,02","2,55",772813
